epoch,phase,loss,reconstruction,kl,beta
1,train,748.1622386067709,739.1385304904514,9.023708736137108,1.0
1,val,721.7991455078125,714.838448079427,6.960696699778239,1.0
2,train,708.600175708912,697.283334092882,11.316841912163628,1.0
2,val,701.1230447591146,687.7056918945312,13.417348228454589,1.0
3,train,699.2998269675926,686.0687047706887,13.231123302318432,1.0
3,val,697.7655667317708,683.8505520833334,13.915015312194825,1.0
4,train,696.8468031864873,683.2787597837095,13.568042420846444,1.0
4,val,695.7657594401041,682.4992887369791,13.266469983418782,1.0
5,train,695.3648888165509,681.6182751555266,13.74661318093759,1.0
5,val,694.7938919270833,680.8087423502604,13.985149047851563,1.0
6,train,694.2922583007812,680.4601324869792,13.832125818323206,1.0
6,val,693.7435511067708,679.7796495768229,13.963901705423991,1.0
7,train,693.5426119972511,679.6479454933449,13.894666884245696,1.0
7,val,693.0080182291666,679.0799334309896,13.92808322652181,1.0
8,train,692.9430437282986,678.95116317636,13.991879720052083,1.0
8,val,692.7567802734375,678.835930826823,13.920846674601236,1.0
9,train,692.4455287000868,678.4037461841724,14.041782118338126,1.0
9,val,692.4018759765625,678.3359085286459,14.065965237935384,1.0
10,train,692.0530803313079,677.9631761610243,14.089902552286784,1.0
10,val,691.8846725260416,678.0562630208333,13.828412521362305,1.0
11,train,691.7491213288483,677.5794439561632,14.169676561426233,1.0
11,val,691.4679871419271,677.1525543619791,14.315431177775064,1.0
12,train,691.4131770833334,677.2294652235244,14.183711286474157,1.0
12,val,691.2223076171875,677.1917122395834,14.030597173055012,1.0
13,train,691.1866204788773,676.9444553493923,14.242165940178765,1.0
13,val,690.8598833007812,676.4886482747396,14.371233980814615,1.0
14,train,690.8810061125579,676.6169605938946,14.264045351664226,1.0
14,val,690.9208720703125,676.7714391276041,14.149434361775716,1.0
15,train,690.6491805013021,676.3825541992187,14.266626185946995,1.0
15,val,691.0119012044271,676.1625745442708,14.849329177856445,1.0
16,train,690.4667088396991,676.1404870695891,14.326222158361364,1.0
16,val,690.4762952473958,676.2398108723959,14.236484130859376,1.0
17,train,690.2470355721933,675.9140364945023,14.332999294139722,1.0
17,val,690.2553264973958,675.7679106445313,14.487418334960937,1.0
18,train,690.1105053710937,675.7787951027199,14.331711475796169,1.0
18,val,690.1559156901042,675.9633111979167,14.19260080464681,1.0
19,train,689.9126799045139,675.5787738715278,14.333905272589789,1.0
19,val,689.9986752929688,675.4371150716146,14.561560338338216,1.0
20,train,689.804796802662,675.411156141493,14.393640862358941,1.0
20,val,689.739315592448,675.9291333007812,13.810184066772461,1.0
