epoch,phase,loss,reconstruction,kl,beta
1,train,741.1046242223669,728.2897482277199,12.814875890661169,1.0
1,val,711.5088834635417,698.528665201823,12.98021752166748,1.0
2,train,706.9072061993634,691.9495848343461,14.957620965180574,1.0
2,val,703.4284819335937,687.9262150065105,15.502265604654948,1.0
3,train,702.0729861111112,686.0389541015625,16.03403243142587,1.0
3,val,701.0267635091146,684.8772919921875,16.14947188568115,1.0
4,train,700.2146692889178,683.7643512369792,16.450317169754594,1.0
4,val,699.6960693359375,682.8702132161459,16.825851450602215,1.0
5,train,699.0262331633392,682.380340802228,16.6458923034668,1.0
5,val,698.81034375,681.4980221354167,17.312328954060874,1.0
6,train,698.1467924262153,681.3726228841145,16.77416940081561,1.0
6,val,697.9020530598958,680.6387626953125,17.26328592936198,1.0
7,train,697.46711416739,680.5796834852431,16.88743047587077,1.0
7,val,697.4589611002605,680.0261110026041,17.432847157796225,1.0
8,train,696.9879349681713,679.9680415762442,17.019894422743057,1.0
8,val,697.0014742838541,679.1685327148438,17.83293822733561,1.0
9,train,696.589706000434,679.484171875,17.10553428310818,1.0
9,val,696.7737604166666,680.3299427083333,16.443813466389972,1.0
10,train,696.1818319769965,679.0343872793692,17.147444680673104,1.0
10,val,696.3282216796875,679.2887749023438,17.03944571940104,1.0
11,train,695.8876998878761,678.6427297996238,17.24496991362395,1.0
11,val,696.0848588867187,678.47902734375,17.60583259073893,1.0
12,train,695.6689194155092,678.3548708043982,17.314049071700484,1.0
12,val,695.8612403971354,678.737078125,17.12415993754069,1.0
13,train,695.3984858217592,678.0239590386285,17.374527672096534,1.0
13,val,695.651444498698,678.6247307942708,17.02671345011393,1.0
14,train,695.1654028682002,677.7789802155671,17.386421964857313,1.0
14,val,695.5191372070312,677.6087612304688,17.910379735310872,1.0
15,train,695.0176007848669,677.5855227322048,17.43207691051342,1.0
15,val,695.2574666341146,678.2745432942709,16.982923141479493,1.0
16,train,694.7843345269097,677.3029864547165,17.48134708263256,1.0
16,val,695.0594223632812,678.06765234375,16.991768819173178,1.0
17,train,694.642360152633,677.1515396773727,17.490821382875797,1.0
17,val,695.0859064127604,678.2505327148438,16.835374989827475,1.0
18,train,694.5237029079861,676.9774401222512,17.546264840020072,1.0
18,val,694.8997493489584,677.2362338867188,17.663514623006186,1.0
19,train,694.337165979456,676.7985461877894,17.538619637383356,1.0
19,val,694.7021352539062,677.0607596028646,17.641373407999673,1.0
20,train,694.251501989294,676.6639279513889,17.587572594536674,1.0
20,val,694.5290384114584,677.0806066080729,17.448430964152017,1.0
