epoch,phase,loss,reconstruction,kl,beta
1,train,828.8385387369792,797.2390252278645,6.319902363459269,5.0
1,val,751.0509892578125,733.2837106119791,3.5534560546875,5.0
2,train,747.6792708333334,735.8990232747395,2.3560496543248495,5.0
2,val,735.9478074544271,728.7087412109375,1.447813939412435,5.0
3,train,738.7602399088541,730.5487708333334,1.6422940006256104,5.0
3,val,732.3371018880208,725.5437013346354,1.3586801726023356,5.0
4,train,731.2896735026042,727.099911295573,0.8379522827466329,5.0
4,val,730.3624313151041,726.8595704752604,0.700572208404541,5.0
5,train,729.4672379557292,726.6208971354166,0.5692681883176168,5.0
5,val,728.701770670573,726.2648307291666,0.48738779584566755,5.0
6,train,728.3628413085937,725.9880473632812,0.474958815574646,5.0
6,val,727.8977540690104,725.1119931640625,0.5571512104670207,5.0
