epoch,phase,loss,reconstruction,kl,beta
1,train,831.473085123698,798.926389811198,6.509338591257731,5.0
1,val,787.0154371744792,759.9283605143229,5.417415682474772,5.0
2,train,753.9208504231771,739.1722513020833,2.9497193406422935,5.0
2,val,748.4809651692708,731.4664130859375,3.4029091103871663,5.0
3,train,743.0284925130209,732.7953263346354,2.0466336755752566,5.0
3,val,733.3103219401041,727.7096007486979,1.1201429821650186,5.0
4,train,734.1080768229167,729.7690857747396,0.86779851659139,5.0
4,val,731.5392036132813,727.9471326497396,0.7184137625694275,5.0
5,train,732.1912420247396,728.7698131510417,0.6842855507532756,5.0
5,val,731.3927571614583,727.8941342773437,0.6997244453430176,5.0
6,train,730.5244161783854,727.5154322916667,0.601796434879303,5.0
6,val,729.45872265625,726.0120973307291,0.6893251843452454,5.0
7,train,729.544215983073,727.0652420247396,0.4957947909037272,5.0
7,val,729.119727701823,726.6347433268229,0.49699643619855244,5.0
8,train,729.1847768554687,726.8677154947917,0.4634129005273183,5.0
8,val,728.3951419270834,726.2059020182292,0.43784708007176715,5.0
9,train,728.5,726.5719340820312,0.38561317992210387,5.0
9,val,728.0440743815104,726.2095895182292,0.36689719557762146,5.0
10,train,728.0396013997396,726.194309407552,0.36905868363380434,5.0
10,val,727.4822399088541,725.5069949544271,0.39504855330785116,5.0
11,train,727.8365686848958,726.1028771158855,0.34673779384295145,5.0
11,val,727.5056686197917,725.4828139648438,0.4045714326699575,5.0
12,train,727.4983430989583,725.7600092773438,0.34766658131281536,5.0
12,val,727.3225310872396,725.5337026367188,0.3577668410142263,5.0
13,train,727.6458709309895,725.6633846028645,0.39649674789110817,5.0
13,val,727.0439210611979,725.2883146158854,0.35112140798568725,5.0
14,train,728.4648859049479,725.8847882486979,0.51601993338267,5.0
14,val,728.0119458007813,725.6483268229167,0.47272358314196267,5.0
15,train,727.1225335286458,725.4833873697917,0.3278292293548584,5.0
15,val,726.8948053385417,725.36359375,0.30624184664090476,5.0
16,train,726.8890913085937,725.3977888997396,0.29826008184750874,5.0
16,val,726.6520948893229,725.0604632161459,0.3183260199228923,5.0
17,train,726.6747234700521,725.196826985677,0.295579554160436,5.0
17,val,726.2833243815104,724.7861622721355,0.2994323879082998,5.0
18,train,726.3726404622396,725.0015818684896,0.2742120821475983,5.0
18,val,726.3165538736979,724.6518087565104,0.3329488570690155,5.0
19,train,726.1946276041666,724.99005859375,0.24091411650180816,5.0
19,val,725.8864156901042,725.029164876302,0.17145002114772798,5.0
20,train,726.0359993489583,725.1601749674479,0.175164069155852,5.0
20,val,725.7492591145833,725.0041401367188,0.14902395431200663,5.0
