epoch,phase,loss,reconstruction,kl,beta
1,train,776.2293624674479,770.8870794270833,53.4228254776001,0.1
1,val,751.390387532552,744.4448553059896,69.45532615152995,0.1
2,train,725.2137124023437,721.1913510742188,40.22359916178385,0.1
2,val,713.1997895507812,709.1592745768229,40.405131052653,0.1
3,train,705.8653592122396,701.9421590169271,39.231996551513674,0.1
3,val,697.5890359700521,693.4367290039063,41.52308316040039,0.1
4,train,694.7390179036458,690.6865756835938,40.52439088948568,0.1
4,val,690.8277615559896,686.6955322265625,41.322288187662764,0.1
5,train,689.1815571289062,685.1432390950521,40.38317768351237,0.1
5,val,686.7105541992188,682.7566915690104,39.538607574462894,0.1
6,train,685.7173618164062,681.6882057291666,40.29154728190104,0.1
6,val,684.8166204427083,680.8691468098958,39.47477694702148,0.1
