epoch,phase,loss,reconstruction,kl,beta
1,train,137557.3821821289,1469.3076778564453,2721761.5668488233,0.05
1,val,1037.4344900716146,979.7562669270833,1153.5644671223959,0.05
2,train,958.7050791015625,877.7702766113281,809.348023071289,0.1
2,val,872.7985670572916,793.4046013997396,793.9396827799479,0.1
3,train,848.5454066162109,752.4048809814453,640.9368135986329,0.15
3,val,803.9074851888021,716.1501476236979,585.0489057617187,0.15
4,train,783.7258060302735,685.4775578613281,491.2412434082031,0.2
4,val,752.0413902994792,661.027063313802,455.0716416829427,0.2
5,train,2250369.150743042,1112.475734008789,8997026.71562738,0.25
5,val,1140.3225029296875,892.1318180338542,992.7627395833333,0.25
6,train,1248.7799904785156,824.9142749023438,1412.8856505126953,0.3
6,val,1022.3095146484375,795.8594689127605,754.8334702148437,0.3
7,train,1225.6108658447265,779.1606876220703,1275.5719544677734,0.35
7,val,1016.8878740234375,778.6262439778645,680.7475416666666,0.35
8,train,1567.3362893066405,753.669259399414,2034.167557861328,0.4
8,val,1028.672850748698,749.8038981119792,697.1723810221354,0.4
9,train,1185.8010661621095,727.4455050048828,1018.5679278564453,0.45
9,val,972.3924405924479,715.8417337239583,570.1126944986979,0.45
10,train,1048.0251915283204,709.4554182128907,677.1395427856445,0.5
10,val,970.1832586263021,712.4382392578125,515.4900485026042,0.5
11,train,995.3068616943359,693.33499609375,603.9437348022461,0.5
11,val,966.6377887369791,710.9649682617187,511.3456409505208,0.5
12,train,983.5536339111328,683.2968314208985,600.5136061401367,0.5
12,val,920.8103413085937,677.4866490885416,486.6473844401042,0.5
13,train,1820861.1570998535,825.5912137451172,3640071.2097652587,0.5
13,val,1115.7768271484374,887.5665266927083,456.42061857096354,0.5
14,train,1015.0669754638672,803.1683669433594,423.7972230224609,0.5
14,val,991.9528538411458,770.9575305989583,441.9906433105469,0.5
15,train,961.6135576171876,758.1591500244141,406.9088153076172,0.5
15,val,975.8084007161458,779.7153712565104,392.1860504557292,0.5
16,train,930.2893270263672,740.4318024902344,379.7150516967773,0.5
16,val,918.4816959635417,736.7351805013021,363.4930348307292,0.5
17,train,908.6352565917969,722.4630731201172,372.3443663330078,0.5
17,val,910.423244140625,727.628904296875,365.5886770019531,0.5
18,train,929.9811224365235,717.2262340087891,425.5097786254883,0.5
18,val,916.1517014973958,722.3398935546875,387.62361254882813,0.5
19,train,903.5425852050781,700.3003762207031,406.4844233398438,0.5
19,val,952.7532592773438,733.0459241536458,439.414675374349,0.5
20,train,887.1987955322265,692.2848972167968,389.8278001098633,0.5
20,val,909.9133601888021,715.769041015625,388.28862727864583,0.5
21,train,876.878171875,684.1909757080078,385.3743943481445,0.5
21,val,905.4527469075521,711.9646442057292,386.97620939127603,0.5
22,train,876.1656561279297,677.741875,396.84756372070314,0.5
22,val,901.35300390625,689.441700032552,423.8226052246094,0.5
23,train,868.8193806152344,669.1561124267578,399.3265378417969,0.5
23,val,878.7544194335937,694.7481969401042,368.0124294433594,0.5
24,train,852.8863569335938,665.2585129394531,375.2556908569336,0.5
24,val,879.0842203776042,686.1512763671875,385.8658959147135,0.5
25,train,849.5332211914063,658.0773829345703,382.91167535400393,0.5
25,val,879.5106798502604,682.9027486979166,393.21585522460936,0.5
26,train,858.838874633789,656.4096730957032,404.85840270996096,0.5
26,val,933.5611376953125,726.6661090494791,413.79004964192706,0.5
27,train,867.8316571044921,650.9107143554687,433.8418864746094,0.5
27,val,897.2937708333334,672.8056267903646,448.9762939453125,0.5
28,train,852.8119471435547,642.0221885986329,421.5795172729492,0.5
28,val,890.6501455078125,685.8402709960938,409.6197587890625,0.5
29,train,849.1392275390625,641.5759654541016,415.1265255126953,0.5
29,val,885.8018735351562,671.6751637369791,428.25342220052084,0.5
30,train,836.0852069091796,634.4734581298828,403.2234985961914,0.5
30,val,857.0834840494791,663.2162361653645,387.73449650065106,0.5
