epoch,phase,loss,reconstruction,kl,beta
1,train,56804.49299121094,2739.17795703125,54065.31679971313,1.0
1,val,1792.2550625,1665.0157744140624,127.239283203125,1.0
2,train,1363.1308876953126,1238.072541015625,125.05835034179688,1.0
2,val,1198.4058623046874,1074.42196875,123.98389636230469,1.0
3,train,1098.0767587890625,976.434640625,121.64212078857422,1.0
3,val,1016.31272265625,891.0046435546875,125.30809027099609,1.0
4,train,985.5159365234375,861.3605927734375,124.15533874511719,1.0
4,val,938.1328852539062,815.3161020507813,122.81678186035157,1.0
5,train,904.7775356445312,780.4330439453125,124.34449206542969,1.0
5,val,893.7722895507812,767.90998046875,125.86230462646485,1.0
6,train,856.003978515625,729.8999599609375,126.10401837158203,1.0
6,val,866.7919116210937,744.1837963867188,122.60811071777344,1.0
7,train,831.3484272460937,704.324513671875,127.02391473388671,1.0
7,val,844.361689453125,718.1868735351562,126.17481066894531,1.0
8,train,797.46114453125,669.5663642578126,127.89478198242188,1.0
8,val,812.6265083007812,686.453703125,126.17280474853516,1.0
9,train,784.3449086914062,654.486599609375,129.85830810546875,1.0
9,val,789.6533598632813,661.2395961914062,128.41376354980468,1.0
10,train,761.1220224609375,630.8242607421874,130.2977622680664,1.0
10,val,780.347833984375,656.3403779296875,124.00744543457031,1.0
