epoch,phase,loss,reconstruction,kl,beta
1,train,1895.9166376953126,1723.6713955078126,172.24525100708007,1.0
1,val,1092.6827610677083,973.4651092122396,119.21765303548177,1.0
2,train,971.63576171875,850.8161049804687,120.81965698242188,1.0
2,val,878.3273002929687,757.1919145507812,121.13538350423177,1.0
3,train,824.6274790039063,700.800275390625,123.827201171875,1.0
3,val,781.6959541015625,653.5960777994792,128.09987457275392,1.0
4,train,760.3151665039062,634.466865234375,125.84830297851562,1.0
4,val,714.797930826823,589.6174080403646,125.18051497395834,1.0
5,train,725.059251953125,597.95998828125,127.09926373291016,1.0
5,val,703.7845861002604,571.077714029948,132.7068690999349,1.0
6,train,687.8609213867187,562.0189670410156,125.84195336914063,1.0
6,val,709.2138015950521,578.0577446289062,131.1560596110026,1.0
7,train,670.1405263671875,543.9616396484375,126.17888586425781,1.0
7,val,699.0251821289063,573.8197972005208,125.20538854980468,1.0
8,train,657.7868159179687,531.8879924316407,125.89882196044923,1.0
8,val,656.6499856770834,532.7360716145834,123.91392209879557,1.0
9,train,648.1109658203125,522.7611594238281,125.34980639648437,1.0
9,val,651.2942760416666,526.5102690429687,124.78401137288411,1.0
10,train,629.9909697265625,505.59427856445313,124.39669122314453,1.0
10,val,653.1273919270833,530.2360776367187,122.89131066894531,1.0
11,train,618.3424604492187,495.3888991699219,122.9535630493164,1.0
11,val,642.33012890625,518.8298732096354,123.50025899251303,1.0
12,train,616.1271088867187,493.09737060546877,123.02973791503906,1.0
12,val,644.9400249023438,517.860420735677,127.07960894775391,1.0
13,train,612.111833984375,488.9111394042969,123.20069409179688,1.0
13,val,613.1604741210938,490.03462760416664,123.12584735107421,1.0
14,train,606.1217041015625,482.95182080078126,123.1698828125,1.0
14,val,628.8552836914063,511.1138514811198,117.74144150797527,1.0
15,train,610.7171875,487.9579423828125,122.75924200439454,1.0
15,val,626.9509334309896,504.083943359375,122.86698905436198,1.0
16,train,591.0097006835938,469.58758422851565,121.42211407470703,1.0
16,val,628.041716796875,503.8920379231771,124.1496795654297,1.0
17,train,582.0851040039063,461.4631279296875,120.62197882080078,1.0
17,val,600.2936310221354,481.0570939127604,119.23653245035807,1.0
18,train,583.34858203125,462.69002197265627,120.65855804443359,1.0
18,val,609.41716796875,491.39781909179686,118.01935111490886,1.0
