epoch,phase,loss,reconstruction,kl,beta
1,train,4294.489698242188,1956.156142578125,2338.333448867798,1.0
1,val,1207.1376809895833,1098.0396884765626,109.09798655192057,1.0
2,train,1108.20371875,993.575544921875,114.62817279052734,1.0
2,val,964.2313173828124,845.5995426432291,118.631775390625,1.0
3,train,933.5437744140625,815.112814453125,118.43095880126953,1.0
3,val,851.9818152669271,730.1029663085938,121.87884989420573,1.0
4,train,836.5213486328125,715.84551171875,120.67583648681641,1.0
4,val,804.9889763997396,686.3065885416667,118.68238423665365,1.0
5,train,790.996919921875,668.3219790039062,122.67494183349609,1.0
5,val,755.3985880533854,635.1944007161459,120.20418389892578,1.0
6,train,748.1464384765625,624.1250146484375,124.02142364501952,1.0
6,val,737.9037576497395,614.3314957682292,123.57226267496745,1.0
7,train,724.3536235351562,598.6521674804687,125.70145330810547,1.0
7,val,722.5368860677083,592.7135068359376,129.82338545735678,1.0
8,train,703.002578125,575.3963937988282,127.60618615722656,1.0
8,val,707.1089357096354,577.7749658203124,129.33397025553384,1.0
9,train,691.7336635742188,562.9254465332032,128.80821752929688,1.0
9,val,696.4241370442709,564.0603479817709,132.3637870686849,1.0
10,train,666.101673828125,538.1248830566407,127.97679473876953,1.0
10,val,702.0759099934896,574.8176941731771,127.2582143351237,1.0
11,train,663.7584428710937,535.1989567871094,128.55948706054687,1.0
11,val,688.1975099283854,560.9695473632812,127.22795540364584,1.0
12,train,654.5298745117187,525.1257580566406,129.4041160888672,1.0
12,val,659.3985691731771,533.9567994791666,125.44177219645182,1.0
13,train,633.8409697265625,505.52589892578123,128.31507165527344,1.0
13,val,655.6499186197917,529.2844526367187,126.36546783447265,1.0
14,train,632.4462626953125,503.45253271484376,128.99373071289062,1.0
14,val,642.8581875,516.8716795247395,125.98650583902995,1.0
15,train,625.2245849609375,496.39638159179685,128.8282025756836,1.0
15,val,649.7536541341145,521.5564973958334,128.1971568400065,1.0
16,train,620.2927763671875,490.38553833007813,129.90723754882814,1.0
16,val,640.4317104492187,512.3655356445313,128.0661732788086,1.0
17,train,615.387267578125,485.57180859375,129.81545739746093,1.0
17,val,629.0109700520833,499.1605126953125,129.85045336914064,1.0
18,train,604.7981127929687,476.09956958007814,128.69854431152345,1.0
18,val,634.0845213216146,507.25595345052085,126.82856016031901,1.0
