component_1,component_2,label,class_name,method
-1.4968193,-0.8896276,0,T-shirt/top,PCA
-0.84606713,-1.4144031,6,Shirt,PCA
2.0746663,1.5804563,5,Sandal,PCA
-0.4002892,0.3042297,7,Sneaker,PCA
-2.2826924,0.8689109,7,Sneaker,PCA
0.11900324,-2.2019637,8,Bag,PCA
-0.13784465,1.8775251,9,Ankle boot,PCA
-1.1609548,1.437201,6,Shirt,PCA
-0.97673756,-0.8378215,2,Pullover,PCA
1.6641866,-0.9159875,2,Pullover,PCA
0.69246924,-0.9447237,3,Dress,PCA
-0.14986555,0.28636175,4,Coat,PCA
1.7627715,1.6412845,9,Ankle boot,PCA
2.9140813,0.045093276,1,Trouser,PCA
-0.32312527,0.18307278,7,Sneaker,PCA
-0.30609527,-1.1854873,2,Pullover,PCA
0.20764397,-0.78670377,0,T-shirt/top,PCA
-1.4158931,-0.25175098,4,Coat,PCA
-0.9606691,-0.8296056,3,Dress,PCA
0.25727776,-1.3694305,9,Ankle boot,PCA
-1.2534288,-0.07624021,0,T-shirt/top,PCA
-0.47540855,1.1301731,9,Ankle boot,PCA
-0.3322923,-1.4464694,6,Shirt,PCA
-0.7213279,-0.8145875,4,Coat,PCA
1.0668024,1.8231363,9,Ankle boot,PCA
0.04670182,-0.48966485,7,Sneaker,PCA
-0.14917012,1.6255301,9,Ankle boot,PCA
-0.23793918,3.0969403,0,T-shirt/top,PCA
-0.8953089,-1.6472666,6,Shirt,PCA
0.041037038,-1.060059,2,Pullover,PCA
-0.11907482,-0.6464563,0,T-shirt/top,PCA
0.9724744,0.448894,7,Sneaker,PCA
-1.2480093,-0.6800435,7,Sneaker,PCA
0.14520301,0.09618516,0,T-shirt/top,PCA
0.48058847,0.5206439,5,Sandal,PCA
-1.2372493,0.6052101,4,Coat,PCA
0.79495656,-1.0465232,6,Shirt,PCA
-0.3810859,1.2243378,7,Sneaker,PCA
1.8753625,0.07835157,5,Sandal,PCA
1.068183,0.045794837,7,Sneaker,PCA
0.10834561,0.52087176,7,Sneaker,PCA
1.7157589,2.3545098,3,Dress,PCA
-1.0287248,1.4084615,4,Coat,PCA
0.95192295,-0.34219232,3,Dress,PCA
-0.10462941,-0.92337847,1,Trouser,PCA
-1.8649213,0.6201192,2,Pullover,PCA
1.7465074,0.29155812,5,Sandal,PCA
-0.5821703,0.018310236,8,Bag,PCA
0.9197703,-0.29135752,2,Pullover,PCA
1.3685423,-1.4671657,6,Shirt,PCA
-0.7640277,1.3804704,7,Sneaker,PCA
1.4959573,-0.27174369,9,Ankle boot,PCA
-0.43240997,0.92651993,7,Sneaker,PCA
-0.2547058,-1.0138388,8,Bag,PCA
-0.8749273,-0.22253567,8,Bag,PCA
-0.008410208,-1.2845542,6,Shirt,PCA
-0.051584776,-0.4924161,4,Coat,PCA
-2.063935,-1.2265362,1,Trouser,PCA
-0.059965868,0.7448749,6,Shirt,PCA
1.293881,-0.24184124,6,Shirt,PCA
0.7630648,0.19199574,1,Trouser,PCA
-0.79263604,-0.30402923,6,Shirt,PCA
1.0941274,1.0346841,7,Sneaker,PCA
-2.4821274,0.6784925,3,Dress,PCA
-2.4812596,1.0259423,2,Pullover,PCA
-2.1520028,-0.5648307,9,Ankle boot,PCA
0.2244312,-1.0800105,1,Trouser,PCA
0.07370927,-1.2828835,5,Sandal,PCA
-0.3807287,0.26312625,8,Bag,PCA
-1.267172,-1.5091828,1,Trouser,PCA
0.11704308,-0.38422316,6,Shirt,PCA
-0.18038793,-1.387169,4,Coat,PCA
-0.98310167,1.7031485,5,Sandal,PCA
1.126774,-1.2072226,3,Dress,PCA
0.37499598,-0.48603505,2,Pullover,PCA
-0.15108038,0.79294586,4,Coat,PCA
-0.016314562,1.2608403,8,Bag,PCA
0.6565721,0.57231176,0,T-shirt/top,PCA
-0.10019709,-0.05645054,1,Trouser,PCA
2.3374379,0.4431107,3,Dress,PCA
-0.33923107,-0.5761945,8,Bag,PCA
-1.2406056,0.67549074,0,T-shirt/top,PCA
-0.1515592,0.84190565,3,Dress,PCA
-0.03788397,1.4368813,0,T-shirt/top,PCA
0.36027023,0.7454938,1,Trouser,PCA
0.9204105,-1.0348657,0,T-shirt/top,PCA
0.5706805,-0.40397283,2,Pullover,PCA
-0.020518769,1.3319174,6,Shirt,PCA
3.6392968,0.12787901,8,Bag,PCA
0.10946314,-0.045056105,8,Bag,PCA
1.4970254,-0.057110548,5,Sandal,PCA
0.7868862,1.7327789,4,Coat,PCA
1.4764764,0.2100794,7,Sneaker,PCA
1.4055736,-0.2568337,9,Ankle boot,PCA
0.20525967,0.24335822,8,Bag,PCA
-0.7815553,-0.5087352,4,Coat,PCA
-0.63431704,0.3790321,9,Ankle boot,PCA
-0.6842247,-1.1222284,6,Shirt,PCA
-0.25433305,0.09653773,3,Dress,PCA
-0.019429814,1.2747343,7,Sneaker,PCA
1.269627,0.7271784,8,Bag,PCA
1.7049185,-0.057414606,8,Bag,PCA
-0.342175,-1.9383466,8,Bag,PCA
-1.2181079,1.6212152,5,Sandal,PCA
0.92723024,0.55058426,1,Trouser,PCA
0.041834064,-0.07008455,1,Trouser,PCA
0.9091678,-0.35998526,0,T-shirt/top,PCA
0.021978876,2.030958,3,Dress,PCA
