component_1,component_2,label,class_name,method
4.0213575,9.886874,0,T-shirt/top,UMAP
3.257966,5.9882975,6,Shirt,UMAP
3.7945404,2.5377586,5,Sandal,UMAP
0.5856595,1.9260178,7,Sneaker,UMAP
3.3306751,8.107624,7,Sneaker,UMAP
8.185979,2.7314093,8,Bag,UMAP
0.8846866,3.3931234,9,Ankle boot,UMAP
6.312467,7.7084675,6,Shirt,UMAP
5.6737094,5.3443265,2,Pullover,UMAP
1.3745338,4.6285543,2,Pullover,UMAP
1.5236708,5.5862403,3,Dress,UMAP
3.2612212,4.649911,4,Coat,UMAP
2.2487173,2.9089496,9,Ankle boot,UMAP
6.9596796,0.39409292,1,Trouser,UMAP
0.9509073,6.4102807,7,Sneaker,UMAP
1.7703295,9.158274,2,Pullover,UMAP
4.081254,5.09607,0,T-shirt/top,UMAP
4.013261,8.721557,4,Coat,UMAP
4.430431,9.255712,3,Dress,UMAP
8.775642,4.7217765,9,Ankle boot,UMAP
2.329566,8.615071,0,T-shirt/top,UMAP
0.86919004,4.827508,9,Ankle boot,UMAP
8.594624,4.7970963,6,Shirt,UMAP
9.026627,3.951647,4,Coat,UMAP
1.946234,2.2248092,9,Ankle boot,UMAP
5.8565454,5.8749256,7,Sneaker,UMAP
1.6164292,2.0564332,9,Ankle boot,UMAP
2.4801593,0.19224769,0,T-shirt/top,UMAP
5.1033473,8.176929,6,Shirt,UMAP
4.3122115,4.418744,2,Pullover,UMAP
5.719168,3.9487984,0,T-shirt/top,UMAP
2.7972512,4.568858,7,Sneaker,UMAP
3.6627438,8.172073,7,Sneaker,UMAP
3.381463,2.4371417,0,T-shirt/top,UMAP
0.5516705,2.5004864,5,Sandal,UMAP
3.3068566,7.993358,4,Coat,UMAP
0.7959865,7.179357,6,Shirt,UMAP
1.5754895,0.4175816,7,Sneaker,UMAP
4.3445888,3.7823584,5,Sandal,UMAP
8.683601,4.2490253,7,Sneaker,UMAP
1.9006547,5.537441,7,Sneaker,UMAP
4.8287153,-0.42550334,3,Dress,UMAP
3.3964949,0.7060665,4,Coat,UMAP
8.941052,2.2082396,3,Dress,UMAP
6.8189235,3.6759372,1,Trouser,UMAP
3.7773674,8.181021,2,Pullover,UMAP
5.9829764,1.6805298,5,Sandal,UMAP
9.432804,3.4443986,8,Bag,UMAP
0.95215625,6.0314984,2,Pullover,UMAP
5.4846425,3.699906,6,Shirt,UMAP
-0.11309295,5.7713156,7,Sneaker,UMAP
5.409517,2.933426,9,Ankle boot,UMAP
0.12812392,4.514506,7,Sneaker,UMAP
5.605016,5.587456,8,Bag,UMAP
9.22578,3.296867,8,Bag,UMAP
5.8494244,4.157709,6,Shirt,UMAP
5.534684,3.11861,4,Coat,UMAP
4.249208,8.138567,1,Trouser,UMAP
1.4793607,0.6142366,6,Shirt,UMAP
5.305974,2.5526571,6,Shirt,UMAP
-0.20097026,6.1684027,1,Trouser,UMAP
1.2671132,6.805575,6,Shirt,UMAP
1.9969875,3.5338516,7,Sneaker,UMAP
6.880494,7.7303166,3,Dress,UMAP
6.575565,7.8250465,2,Pullover,UMAP
3.6076422,9.517916,9,Ankle boot,UMAP
7.267065,3.4711623,1,Trouser,UMAP
7.5466156,3.9532642,5,Sandal,UMAP
7.06156,4.355747,8,Bag,UMAP
2.762832,7.638084,1,Trouser,UMAP
8.788825,4.8505597,6,Shirt,UMAP
9.189855,3.792626,4,Coat,UMAP
0.4393216,2.2244792,5,Sandal,UMAP
2.3584304,4.750292,3,Dress,UMAP
1.934469,9.1410475,2,Pullover,UMAP
1.6665797,0.4296625,4,Coat,UMAP
5.3401046,0.19004518,8,Bag,UMAP
2.5254266,2.2779078,0,T-shirt/top,UMAP
6.8196826,4.3922105,1,Trouser,UMAP
7.066277,0.5086793,3,Dress,UMAP
3.5339093,5.915176,8,Bag,UMAP
5.013989,7.2382965,0,T-shirt/top,UMAP
0.5859549,2.142559,3,Dress,UMAP
2.138463,1.5759193,0,T-shirt/top,UMAP
4.6784286,0.27454063,1,Trouser,UMAP
7.3569756,1.627104,0,T-shirt/top,UMAP
4.859741,3.954318,2,Pullover,UMAP
2.0908496,0.38458544,6,Shirt,UMAP
3.0584054,3.0874681,8,Bag,UMAP
3.3762107,6.982107,8,Bag,UMAP
7.3893495,0.79477876,5,Sandal,UMAP
1.376295,2.0456114,4,Coat,UMAP
4.6358094,3.95663,7,Sneaker,UMAP
5.410929,4.008578,9,Ankle boot,UMAP
0.35130385,5.7450895,8,Bag,UMAP
4.1195555,5.5732746,4,Coat,UMAP
4.276653,7.878651,9,Ankle boot,UMAP
1.721727,9.071563,6,Shirt,UMAP
5.3751283,1.112839,3,Dress,UMAP
0.6868814,2.53372,7,Sneaker,UMAP
2.0260148,3.391897,8,Bag,UMAP
0.3671385,4.9060225,8,Bag,UMAP
6.66222,5.333782,8,Bag,UMAP
3.7369175,7.3005037,5,Sandal,UMAP
5.675627,0.17193468,1,Trouser,UMAP
8.346633,3.3622057,1,Trouser,UMAP
7.2734103,1.1202487,0,T-shirt/top,UMAP
3.6230414,0.35803536,3,Dress,UMAP
-0.055462867,5.846461,7,Sneaker,UMAP
5.096233,7.7438803,6,Shirt,UMAP
8.15221,4.7081203,3,Dress,UMAP
5.2258835,0.2910976,9,Ankle boot,UMAP
7.9362726,1.3521347,8,Bag,UMAP
4.523526,6.072281,4,Coat,UMAP
1.9033077,6.5083,6,Shirt,UMAP
6.764076,6.113257,5,Sandal,UMAP
0.87831163,5.203314,2,Pullover,UMAP
5.2274075,1.0711025,8,Bag,UMAP
8.94958,4.3253407,7,Sneaker,UMAP
2.956707,1.8796918,3,Dress,UMAP
3.2544832,3.9956748,2,Pullover,UMAP
2.8010495,5.6606426,7,Sneaker,UMAP
6.245762,7.046966,0,T-shirt/top,UMAP
0.3668718,3.4024546,2,Pullover,UMAP
5.658337,7.0278997,7,Sneaker,UMAP
4.522534,7.26732,4,Coat,UMAP
1.9619794,0.7076028,0,T-shirt/top,UMAP
5.758292,6.285965,5,Sandal,UMAP
2.062318,9.468743,8,Bag,UMAP
6.445562,7.0919657,1,Trouser,UMAP
2.544857,4.2698145,5,Sandal,UMAP
5.738572,4.242096,0,T-shirt/top,UMAP
3.8002748,5.617624,3,Dress,UMAP
2.4880946,3.1824973,9,Ankle boot,UMAP
2.6760576,9.1918955,8,Bag,UMAP
5.8424907,5.5096354,0,T-shirt/top,UMAP
7.726807,1.9821559,7,Sneaker,UMAP
2.5827277,0.5117724,6,Shirt,UMAP
2.360199,1.1509901,3,Dress,UMAP
2.3925521,1.087153,1,Trouser,UMAP
7.850272,2.8489237,2,Pullover,UMAP
9.155469,3.290063,4,Coat,UMAP
3.1166415,9.177607,0,T-shirt/top,UMAP
2.5586524,2.0220854,8,Bag,UMAP
5.0113482,3.6945338,0,T-shirt/top,UMAP
4.8546624,8.927496,0,T-shirt/top,UMAP
2.1911678,4.78765,8,Bag,UMAP
3.0841186,9.671805,8,Bag,UMAP
5.3713207,4.0863957,9,Ankle boot,UMAP
3.8194876,5.812401,9,Ankle boot,UMAP
5.648117,3.013003,4,Coat,UMAP
6.4123406,5.5076623,0,T-shirt/top,UMAP
3.129464,3.2910974,3,Dress,UMAP
9.131653,3.9741724,8,Bag,UMAP
4.744019,7.2519827,3,Dress,UMAP
7.8619804,2.2152686,7,Sneaker,UMAP
6.177568,2.1150398,4,Coat,UMAP
0.30356213,4.442543,6,Shirt,UMAP
5.869603,7.051763,5,Sandal,UMAP
4.4620366,6.995626,4,Coat,UMAP
9.063019,2.014479,6,Shirt,UMAP
0.27668703,3.4867473,6,Shirt,UMAP
2.1349835,5.119482,1,Trouser,UMAP
2.6492665,9.252737,9,Ankle boot,UMAP
2.7368317,6.270924,6,Shirt,UMAP
1.0585274,3.0303729,3,Dress,UMAP
5.642307,6.433484,2,Pullover,UMAP
1.2355394,6.7781997,3,Dress,UMAP
5.257454,1.0472186,4,Coat,UMAP
8.367941,5.6087856,5,Sandal,UMAP
1.9771291,9.379637,1,Trouser,UMAP
5.3788815,1.1652094,2,Pullover,UMAP
5.367253,1.1440026,8,Bag,UMAP
4.2727637,9.527444,1,Trouser,UMAP
7.304064,0.9001256,4,Coat,UMAP
2.2062647,1.0611571,9,Ankle boot,UMAP
2.3794403,8.65774,5,Sandal,UMAP
0.6942824,4.7399135,6,Shirt,UMAP
2.7045846,6.936737,4,Coat,UMAP
5.7817297,4.1944437,0,T-shirt/top,UMAP
8.198209,4.519826,3,Dress,UMAP
9.577632,3.7385197,9,Ankle boot,UMAP
4.858502,3.987244,1,Trouser,UMAP
4.5386076,9.654978,0,T-shirt/top,UMAP
1.7218744,0.87207586,9,Ankle boot,UMAP
5.3856654,2.2847211,2,Pullover,UMAP
7.41233,2.100154,5,Sandal,UMAP
3.5883937,-0.5192493,6,Shirt,UMAP
2.5974267,8.815063,5,Sandal,UMAP
5.816017,1.3025442,8,Bag,UMAP
4.363739,4.3332357,0,T-shirt/top,UMAP
3.212197,4.851523,4,Coat,UMAP
0.32622775,4.8151946,3,Dress,UMAP
1.9845823,9.349002,8,Bag,UMAP
7.207139,0.5367936,4,Coat,UMAP
3.0804288,2.0434167,0,T-shirt/top,UMAP
8.312117,4.3874965,8,Bag,UMAP
8.234671,4.1983743,7,Sneaker,UMAP
5.6210265,2.1992886,0,T-shirt/top,UMAP
3.6004527,8.459487,1,Trouser,UMAP
4.197372,-0.6497179,0,T-shirt/top,UMAP
0.30355072,5.8364434,4,Coat,UMAP
4.8282657,8.876961,2,Pullover,UMAP
2.9358997,5.9733195,0,T-shirt/top,UMAP
1.4241736,0.6820625,5,Sandal,UMAP
7.150283,7.112789,8,Bag,UMAP
3.9255388,9.90158,2,Pullover,UMAP
4.4782214,4.2495317,3,Dress,UMAP
2.228596,1.2541296,3,Dress,UMAP
4.6011167,0.15620431,5,Sandal,UMAP
5.6561174,7.0301876,1,Trouser,UMAP
4.224089,4.0368795,7,Sneaker,UMAP
9.419795,4.114873,9,Ankle boot,UMAP
6.08248,0.24423683,3,Dress,UMAP
4.3082423,3.3447568,0,T-shirt/top,UMAP
8.717471,4.429459,9,Ankle boot,UMAP
6.601399,6.9735184,5,Sandal,UMAP
3.2528486,4.212733,0,T-shirt/top,UMAP
7.357639,5.4119596,3,Dress,UMAP
1.5755917,1.2584743,9,Ankle boot,UMAP
2.8660598,9.503361,4,Coat,UMAP
7.2465143,4.6339483,9,Ankle boot,UMAP
2.1621244,3.7482076,0,T-shirt/top,UMAP
2.9797945,-0.68031967,6,Shirt,UMAP
2.9772253,2.7384646,0,T-shirt/top,UMAP
3.5823994,0.38633257,3,Dress,UMAP
3.2775097,3.9509203,8,Bag,UMAP
0.5942533,4.836446,0,T-shirt/top,UMAP
1.4993544,1.3917837,0,T-shirt/top,UMAP
4.708634,8.676589,5,Sandal,UMAP
5.0130477,7.9029074,3,Dress,UMAP
