component_1,component_2,label,class_name,method
-2.2595415,-1.3634167,0,T-shirt/top,PCA
-2.4795241,0.8001282,6,Shirt,PCA
2.6229095,-0.27632332,5,Sandal,PCA
2.337137,1.0017889,7,Sneaker,PCA
1.272494,2.5074825,7,Sneaker,PCA
-0.63099414,-0.3314476,8,Bag,PCA
0.96504664,2.3860466,9,Ankle boot,PCA
-0.56723773,0.516023,6,Shirt,PCA
-2.6038387,0.73182195,2,Pullover,PCA
-1.4492935,-0.42887792,2,Pullover,PCA
-0.6903526,-1.9479977,3,Dress,PCA
-1.247807,0.9727664,4,Coat,PCA
2.014161,1.5239414,9,Ankle boot,PCA
2.6522532,-2.068951,1,Trouser,PCA
1.7480998,1.1820253,7,Sneaker,PCA
-2.728732,-0.4265631,2,Pullover,PCA
-1.3795092,-1.2956059,0,T-shirt/top,PCA
-2.2960942,0.7444035,4,Coat,PCA
-0.91536796,-2.3244095,3,Dress,PCA
0.7708905,0.74077755,9,Ankle boot,PCA
-1.9930102,-0.38029304,0,T-shirt/top,PCA
0.37334585,2.0154092,9,Ankle boot,PCA
-1.9736422,-1.2689245,6,Shirt,PCA
-1.5475228,-0.5185309,4,Coat,PCA
1.7424939,1.7580509,9,Ankle boot,PCA
1.8091471,0.692398,7,Sneaker,PCA
0.7850002,2.1352415,9,Ankle boot,PCA
0.42836767,0.77673805,0,T-shirt/top,PCA
-2.2403514,-0.3001581,6,Shirt,PCA
-1.9970146,0.77794003,2,Pullover,PCA
-1.345559,-1.7319529,0,T-shirt/top,PCA
2.3857272,0.7537113,7,Sneaker,PCA
1.097331,1.3821448,7,Sneaker,PCA
-0.95141387,-0.780309,0,T-shirt/top,PCA
2.0600402,0.7566248,5,Sandal,PCA
-2.1852484,1.5660328,4,Coat,PCA
-1.7912301,-0.12255642,6,Shirt,PCA
1.8905228,1.0132478,7,Sneaker,PCA
1.6831584,0.35508123,5,Sandal,PCA
2.3801544,-0.12390892,7,Sneaker,PCA
2.3857987,0.5680599,7,Sneaker,PCA
2.907435,-1.1592102,3,Dress,PCA
-0.8669963,0.84593153,4,Coat,PCA
1.6346713,-1.8031104,3,Dress,PCA
1.0565192,-2.547815,1,Trouser,PCA
-2.4294229,1.184651,2,Pullover,PCA
2.7793384,-0.08830209,5,Sandal,PCA
-0.43292177,0.030625228,8,Bag,PCA
-1.9105133,0.21552566,2,Pullover,PCA
-0.82182205,-1.2350268,6,Shirt,PCA
1.6201832,1.3026774,7,Sneaker,PCA
1.2710589,1.3395748,9,Ankle boot,PCA
2.361836,0.82880986,7,Sneaker,PCA
-1.4881662,0.58216864,8,Bag,PCA
-0.18168415,0.780667,8,Bag,PCA
-1.2614259,-1.185326,6,Shirt,PCA
-1.4703252,-0.19102694,4,Coat,PCA
-1.0106096,-2.3848221,1,Trouser,PCA
-0.8430675,0.44628194,6,Shirt,PCA
-0.5865877,-1.5895048,6,Shirt,PCA
1.4673748,-2.1805022,1,Trouser,PCA
-2.5758584,0.6756092,6,Shirt,PCA
2.2436302,0.44258296,7,Sneaker,PCA
-1.0004224,-0.8153347,3,Dress,PCA
-1.6065096,1.3051531,2,Pullover,PCA
-0.86067474,2.518623,9,Ankle boot,PCA
1.4292945,-2.4763286,1,Trouser,PCA
0.7157171,0.93711245,5,Sandal,PCA
0.029116213,0.784203,8,Bag,PCA
-0.90171576,-2.6967309,1,Trouser,PCA
-0.74878204,-1.3954637,6,Shirt,PCA
-1.7325625,-1.0548403,4,Coat,PCA
1.481455,1.9619287,5,Sandal,PCA
0.06122537,-2.1242654,3,Dress,PCA
-1.9364165,0.3204258,2,Pullover,PCA
-1.1460972,-0.16437656,4,Coat,PCA
1.0172105,0.55138534,8,Bag,PCA
-0.35724312,-0.92783946,0,T-shirt/top,PCA
1.2816155,-2.144714,1,Trouser,PCA
2.2668946,-1.8751523,3,Dress,PCA
-1.2794926,1.5215899,8,Bag,PCA
-1.2042704,-0.2774559,0,T-shirt/top,PCA
-0.26992077,-1.0295565,3,Dress,PCA
-0.4532138,-0.6174228,0,T-shirt/top,PCA
1.6353118,-1.6604916,1,Trouser,PCA
-0.26630294,-1.5776964,0,T-shirt/top,PCA
-1.1523942,0.31467736,2,Pullover,PCA
-0.6025987,0.49574986,6,Shirt,PCA
2.0947576,0.6477004,8,Bag,PCA
-0.9513786,1.5693133,8,Bag,PCA
2.8763757,-0.64846194,5,Sandal,PCA
-0.33736503,0.6980542,4,Coat,PCA
2.4045255,0.43747205,7,Sneaker,PCA
1.2867817,1.7629855,9,Ankle boot,PCA
0.41507077,1.5840954,8,Bag,PCA
-2.4951813,0.8847896,4,Coat,PCA
0.39597586,2.5816395,9,Ankle boot,PCA
-2.3262131,-0.4581185,6,Shirt,PCA
0.80758286,-1.4667481,3,Dress,PCA
2.2258894,1.1232316,7,Sneaker,PCA
-0.2725284,0.9831985,8,Bag,PCA
-0.5872393,0.9936482,8,Bag,PCA
-2.074468,-0.85275763,8,Bag,PCA
1.1755339,2.4441075,5,Sandal,PCA
2.0513299,-1.3177565,1,Trouser,PCA
1.4140129,-1.7253586,1,Trouser,PCA
0.4447143,-1.3409051,0,T-shirt/top,PCA
1.2229459,-1.5084108,3,Dress,PCA
1.8942891,1.1350528,7,Sneaker,PCA
-1.3578552,0.38780648,6,Shirt,PCA
0.6976545,-0.8876491,3,Dress,PCA
0.09995127,1.6329923,9,Ankle boot,PCA
-0.08051424,-0.44060993,8,Bag,PCA
-1.3908781,0.20063569,4,Coat,PCA
-1.5898474,0.38517514,6,Shirt,PCA
0.8218103,1.3891847,5,Sandal,PCA
-1.3827573,-0.019444263,2,Pullover,PCA
-0.14678924,0.55121386,8,Bag,PCA
2.1491623,-0.53944105,7,Sneaker,PCA
0.44380617,-1.3942105,3,Dress,PCA
-1.9447681,-0.18456918,2,Pullover,PCA
1.9072803,-0.019958008,7,Sneaker,PCA
-2.3806744,-1.5007111,0,T-shirt/top,PCA
-1.5210917,0.5940071,2,Pullover,PCA
2.5443497,1.2268908,7,Sneaker,PCA
-1.5821532,2.2655504,4,Coat,PCA
-0.32552338,-0.9522653,0,T-shirt/top,PCA
1.1885343,1.5603681,5,Sandal,PCA
-0.98543787,1.1440575,8,Bag,PCA
0.30783433,-1.6281408,1,Trouser,PCA
1.5006715,0.8394428,5,Sandal,PCA
-1.4519191,-1.6341639,0,T-shirt/top,PCA
-0.96714056,-2.0447257,3,Dress,PCA
2.1121197,1.4427519,9,Ankle boot,PCA
-0.43822533,1.7822587,8,Bag,PCA
-1.263137,-1.4307653,0,T-shirt/top,PCA
2.84127,0.19127586,7,Sneaker,PCA
-0.33589262,1.1576774,6,Shirt,PCA
-0.3904894,0.19107363,3,Dress,PCA
1.2945875,-2.0063944,1,Trouser,PCA
-2.1425803,0.025548585,2,Pullover,PCA
-1.6964507,-1.4479133,4,Coat,PCA
-2.489507,-1.5438241,0,T-shirt/top,PCA
0.30671132,1.0218977,8,Bag,PCA
-0.9834405,-1.2581701,0,T-shirt/top,PCA
-2.3989985,-1.0424508,0,T-shirt/top,PCA
-0.067083344,1.5618875,8,Bag,PCA
-0.67789376,2.386603,8,Bag,PCA
1.4745873,1.702512,9,Ankle boot,PCA
0.13557371,2.0162718,9,Ankle boot,PCA
-1.0293326,-0.37411958,4,Coat,PCA
-1.9036943,-1.7573136,0,T-shirt/top,PCA
1.8956001,-1.2028105,3,Dress,PCA
-0.42969638,-0.32756177,8,Bag,PCA
-0.43505663,0.20962173,3,Dress,PCA
2.7323592,0.4650666,7,Sneaker,PCA
