component_1,component_2,label,class_name,method
-3.2518368,2.556356,0,T-shirt/top,UMAP
0.4241968,-1.2082907,6,Shirt,UMAP
12.589405,4.806856,5,Sandal,UMAP
13.971747,4.961853,7,Sneaker,UMAP
14.401615,3.0104883,7,Sneaker,UMAP
3.429742,4.312989,8,Bag,UMAP
14.572597,2.3809602,9,Ankle boot,UMAP
1.4673538,0.680527,6,Shirt,UMAP
1.1234726,-1.9671521,2,Pullover,UMAP
1.128389,-3.1163683,2,Pullover,UMAP
-0.5700707,1.0793552,3,Dress,UMAP
0.966784,-2.67582,4,Coat,UMAP
14.141165,3.1942585,9,Ankle boot,UMAP
-0.71799004,6.8750486,1,Trouser,UMAP
13.900074,5.0134587,7,Sneaker,UMAP
0.4794126,-2.471272,2,Pullover,UMAP
-3.8587644,1.3458769,0,T-shirt/top,UMAP
0.15743388,-1.4579185,4,Coat,UMAP
-2.63251,4.1815324,3,Dress,UMAP
13.646002,0.47236866,9,Ankle boot,UMAP
-3.1258652,2.6647046,0,T-shirt/top,UMAP
13.867703,2.4368327,9,Ankle boot,UMAP
-3.1708043,2.8220947,6,Shirt,UMAP
-0.4652075,-0.30691728,4,Coat,UMAP
14.512973,2.686689,9,Ankle boot,UMAP
14.263297,3.8223052,7,Sneaker,UMAP
14.34861,2.2869303,9,Ankle boot,UMAP
-2.6072488,2.0470264,0,T-shirt/top,UMAP
1.0420752,0.9893779,6,Shirt,UMAP
0.38489076,-2.0834808,2,Pullover,UMAP
-4.1378803,2.1112072,0,T-shirt/top,UMAP
13.894018,5.879048,7,Sneaker,UMAP
14.661846,3.013762,7,Sneaker,UMAP
-3.4651878,1.598896,0,T-shirt/top,UMAP
12.442511,4.204021,5,Sandal,UMAP
0.95002204,-1.106434,4,Coat,UMAP
-0.09651502,-0.94283026,6,Shirt,UMAP
13.572411,5.192458,7,Sneaker,UMAP
12.1022625,4.9447875,5,Sandal,UMAP
12.750243,5.642061,7,Sneaker,UMAP
13.397051,5.6745906,7,Sneaker,UMAP
-1.6056148,5.0317135,3,Dress,UMAP
1.7504715,-1.0247561,4,Coat,UMAP
-1.9394358,4.6382794,3,Dress,UMAP
-2.045934,6.9121985,1,Trouser,UMAP
2.1440995,-0.35432112,2,Pullover,UMAP
11.988595,5.1761546,5,Sandal,UMAP
3.8058858,3.9403286,8,Bag,UMAP
0.12887444,-1.7962286,2,Pullover,UMAP
-4.2012334,1.2627585,6,Shirt,UMAP
13.875189,4.9608936,7,Sneaker,UMAP
13.279086,1.2758553,9,Ankle boot,UMAP
14.031774,4.976725,7,Sneaker,UMAP
4.13606,1.0899901,8,Bag,UMAP
4.01231,3.915478,8,Bag,UMAP
-4.0451627,1.8698258,6,Shirt,UMAP
0.018311609,-0.069930986,4,Coat,UMAP
-2.7907932,6.9024353,1,Trouser,UMAP
0.83867174,-0.6022611,6,Shirt,UMAP
-3.6108294,0.94004023,6,Shirt,UMAP
-1.5672421,4.1660476,1,Trouser,UMAP
0.6207531,-1.9671569,6,Shirt,UMAP
13.998707,5.4792967,7,Sneaker,UMAP
-2.4659646,3.9832585,3,Dress,UMAP
2.3122823,-0.07177992,2,Pullover,UMAP
14.184797,1.123287,9,Ankle boot,UMAP
-1.8455,7.0444407,1,Trouser,UMAP
12.675785,1.1907188,5,Sandal,UMAP
4.4513893,3.8177106,8,Bag,UMAP
-2.8055716,6.8654585,1,Trouser,UMAP
-2.88446,2.8293893,6,Shirt,UMAP
-0.5340356,0.20065506,4,Coat,UMAP
12.727694,4.53906,5,Sandal,UMAP
-0.864598,1.5327753,3,Dress,UMAP
0.06346156,-1.210035,2,Pullover,UMAP
0.27887508,-1.6904352,4,Coat,UMAP
4.1340766,3.743119,8,Bag,UMAP
-3.0676212,1.0561664,0,T-shirt/top,UMAP
-2.1396246,6.741646,1,Trouser,UMAP
-1.768967,5.0423436,3,Dress,UMAP
4.582088,1.1526614,8,Bag,UMAP
-3.4529538,1.8353636,0,T-shirt/top,UMAP
-0.44016856,1.1617596,3,Dress,UMAP
-2.9955103,1.4272246,0,T-shirt/top,UMAP
-1.7868285,6.3717294,1,Trouser,UMAP
-3.282183,3.305596,0,T-shirt/top,UMAP
0.8294533,-1.1793822,2,Pullover,UMAP
1.2222557,-0.55212796,6,Shirt,UMAP
13.811314,3.6354747,8,Bag,UMAP
4.357948,1.2446706,8,Bag,UMAP
11.571769,5.713101,5,Sandal,UMAP
1.9053117,-1.6510987,4,Coat,UMAP
13.125097,6.153436,7,Sneaker,UMAP
13.288435,1.2704061,9,Ankle boot,UMAP
5.064685,2.465436,8,Bag,UMAP
0.83336127,-2.250675,4,Coat,UMAP
14.37466,1.9820707,9,Ankle boot,UMAP
-0.26369777,-0.34053814,6,Shirt,UMAP
-2.5479455,4.3387933,3,Dress,UMAP
14.068824,5.013354,7,Sneaker,UMAP
4.7861185,1.3707687,8,Bag,UMAP
5.026234,1.3648782,8,Bag,UMAP
-1.9620597,3.0001168,8,Bag,UMAP
13.789578,2.5693877,5,Sandal,UMAP
-1.8898093,6.2313185,1,Trouser,UMAP
-1.9474223,6.3829994,1,Trouser,UMAP
-1.768112,3.8424473,0,T-shirt/top,UMAP
-1.5704563,3.8765004,3,Dress,UMAP
13.955659,4.9381814,7,Sneaker,UMAP
1.3806107,0.80616874,6,Shirt,UMAP
-2.3020205,4.2636876,3,Dress,UMAP
13.388791,1.8406281,9,Ankle boot,UMAP
3.4324477,4.3382816,8,Bag,UMAP
0.98320645,-1.2422163,4,Coat,UMAP
0.6484226,-0.6759543,6,Shirt,UMAP
12.24325,1.5915934,5,Sandal,UMAP
0.8868828,-1.6821886,2,Pullover,UMAP
4.3284845,3.8118834,8,Bag,UMAP
12.684792,5.925856,7,Sneaker,UMAP
-2.7217515,1.8603522,3,Dress,UMAP
0.823742,-2.5909224,2,Pullover,UMAP
13.975914,5.552558,7,Sneaker,UMAP
-3.9070518,2.213684,0,T-shirt/top,UMAP
1.2405353,-3.0926406,2,Pullover,UMAP
14.451384,3.8345547,7,Sneaker,UMAP
1.7751676,-2.1025617,4,Coat,UMAP
-3.006042,1.7924832,0,T-shirt/top,UMAP
12.478866,1.4279352,5,Sandal,UMAP
4.2892947,3.9698539,8,Bag,UMAP
-1.941353,8.212299,1,Trouser,UMAP
12.901799,4.60319,5,Sandal,UMAP
-4.1307807,1.7021626,0,T-shirt/top,UMAP
-0.69805187,1.7672248,3,Dress,UMAP
13.951705,3.4372306,9,Ankle boot,UMAP
4.5958557,3.201717,8,Bag,UMAP
-4.050602,2.0139217,0,T-shirt/top,UMAP
13.227332,6.3985357,7,Sneaker,UMAP
1.8986342,-0.9025465,6,Shirt,UMAP
12.612417,1.289575,3,Dress,UMAP
-1.4239718,7.103328,1,Trouser,UMAP
-0.21242158,-1.9198313,2,Pullover,UMAP
-0.4788271,-1.7878504,4,Coat,UMAP
-3.524526,2.6366794,0,T-shirt/top,UMAP
4.7190647,1.8522078,8,Bag,UMAP
-3.8154168,1.8122145,0,T-shirt/top,UMAP
-4.0217433,2.1835594,0,T-shirt/top,UMAP
5.15388,1.509906,8,Bag,UMAP
4.6090727,3.9049566,8,Bag,UMAP
13.2765465,1.3037436,9,Ankle boot,UMAP
13.455098,1.4681854,9,Ankle boot,UMAP
-0.008724639,0.7771202,4,Coat,UMAP
-4.0364795,2.0581887,0,T-shirt/top,UMAP
-1.6154926,5.8819156,3,Dress,UMAP
3.851544,3.9291575,8,Bag,UMAP
-2.7526376,2.1068692,3,Dress,UMAP
12.927382,6.366902,7,Sneaker,UMAP
-0.52512085,-0.018003587,4,Coat,UMAP
1.6551534,-1.3191301,6,Shirt,UMAP
11.944101,1.4016261,5,Sandal,UMAP
1.5410615,-1.9930593,4,Coat,UMAP
-1.8496689,3.510978,6,Shirt,UMAP
1.6913291,-2.106706,6,Shirt,UMAP
-1.5614945,7.4503794,1,Trouser,UMAP
14.183666,1.938563,9,Ankle boot,UMAP
0.3328833,-0.93137735,6,Shirt,UMAP
-0.32727635,1.2971213,3,Dress,UMAP
1.8277801,-1.150129,2,Pullover,UMAP
-0.5834327,0.82649463,3,Dress,UMAP
0.18847515,0.6698523,4,Coat,UMAP
11.937145,1.2233196,5,Sandal,UMAP
-2.335086,6.927276,1,Trouser,UMAP
1.3978311,-0.39772302,2,Pullover,UMAP
4.2722116,3.9927318,8,Bag,UMAP
-2.3502254,7.014431,1,Trouser,UMAP
-0.62388754,0.82048774,4,Coat,UMAP
14.0023985,2.3466384,9,Ankle boot,UMAP
12.506664,2.189719,5,Sandal,UMAP
1.0308543,-1.1159557,6,Shirt,UMAP
0.71490604,-2.3409197,4,Coat,UMAP
-4.254476,1.7154753,0,T-shirt/top,UMAP
-2.155027,4.4753056,3,Dress,UMAP
14.384396,1.1686281,9,Ankle boot,UMAP
-1.6880231,7.4955244,1,Trouser,UMAP
-3.8027663,2.7248356,0,T-shirt/top,UMAP
14.001985,2.367835,9,Ankle boot,UMAP
0.46959183,-0.47988093,2,Pullover,UMAP
11.67776,5.4320574,5,Sandal,UMAP
1.1441735,-0.45012,6,Shirt,UMAP
13.126569,2.164627,5,Sandal,UMAP
3.6738913,4.372775,8,Bag,UMAP
-4.3521194,1.5932827,0,T-shirt/top,UMAP
0.84483033,-2.577288,4,Coat,UMAP
-0.6912065,0.86854434,3,Dress,UMAP
