class_index,class_name,n_seeds,conditional_accuracy_mean,conditional_accuracy_std,conditional_accuracy_min,conditional_accuracy_max
0,T-shirt/top,3,0.8346666666666667,0.0037859388972001857,0.832,0.839
1,Trouser,3,0.9886666666666667,0.0020816659994661348,0.987,0.991
2,Pullover,3,0.9056666666666666,0.039551653989856494,0.874,0.95
3,Dress,3,0.8896666666666667,0.0030550504633038962,0.887,0.893
4,Coat,3,0.34700000000000003,0.033286633954186476,0.323,0.385
5,Sandal,3,0.7223333333333333,0.0045092497528228985,0.718,0.727
6,Shirt,3,0.724,0.06322183167229498,0.656,0.781
7,Sneaker,3,0.87,0.04003748243833524,0.843,0.916
8,Bag,3,0.9696666666666667,0.009609023536933058,0.961,0.98
9,Ankle boot,3,0.9903333333333333,0.005686240703077332,0.984,0.995
