epoch,phase,loss,reconstruction,kl,beta
1,train,792.6069417317708,774.8155340169271,17.79140752919515,1.0
1,val,743.1826554361979,731.20403125,11.978628870646158,1.0
2,train,740.1489990234375,728.5865625,11.562438418070474,1.0
2,val,728.9230340169271,718.3103823242187,10.612652875264486,1.0
3,train,725.6670305989584,715.1663815104166,10.500644152323405,1.0
3,val,719.386025390625,707.7436119791666,11.642413426717122,1.0
4,train,717.05169921875,705.1533810221354,11.89831866200765,1.0
4,val,713.7644664713541,701.5472752278646,12.217189905802408,1.0
5,train,712.0648597005209,698.5411072591146,13.523755574544271,1.0
5,val,710.0148440755208,696.4059248046875,13.608918932596842,1.0
6,train,708.8796180013021,694.42062890625,14.4589862798055,1.0
6,val,707.2035299479166,691.8332190755208,15.3703077545166,1.0
