epoch,phase,loss,reconstruction,kl,beta
1,train,792.6069417317708,774.8155340169271,17.79140752919515,1.0
1,val,743.1826554361979,731.20403125,11.978628870646158,1.0
2,train,740.1489990234375,728.5865625,11.562438418070474,1.0
2,val,728.9230340169271,718.3103823242187,10.612652875264486,1.0
3,train,725.6670305989584,715.1663815104166,10.500644152323405,1.0
3,val,719.386025390625,707.7436119791666,11.642413426717122,1.0
4,train,717.05169921875,705.1533810221354,11.89831866200765,1.0
4,val,713.7644664713541,701.5472752278646,12.217189905802408,1.0
5,train,712.0648597005209,698.5411072591146,13.523755574544271,1.0
5,val,710.0148440755208,696.4059248046875,13.608918932596842,1.0
6,train,708.8796180013021,694.42062890625,14.4589862798055,1.0
6,val,707.2035299479166,691.8332190755208,15.3703077545166,1.0
7,train,706.4529475911459,691.5164654947916,14.93648169962565,1.0
7,val,705.2809954427083,690.2094274088541,15.071567092895508,1.0
8,train,704.7444143880208,689.5436106770833,15.200804260253907,1.0
8,val,704.4177726236979,689.3146780598959,15.103096585591635,1.0
9,train,703.822899251302,688.1596319986979,15.663273910522461,1.0
9,val,703.4060021158854,687.6144659830729,15.791532925923665,1.0
10,train,702.8910546875,687.0190847981771,15.871967971801757,1.0
10,val,702.6558224283854,686.2036251627604,16.45219598642985,1.0
11,train,702.2190457356771,686.1255727539062,16.093471333821615,1.0
11,val,702.4661901041667,686.5808989257813,15.885296531677247,1.0
12,train,701.6513693033854,685.438887532552,16.21248039754232,1.0
12,val,701.6696617838542,685.419109375,16.250550735473634,1.0
13,train,701.0923525390625,684.8132465820313,16.27910867055257,1.0
13,val,701.3291697591146,685.2969692382812,16.032200386047364,1.0
14,train,700.6817472330729,684.1791570638021,16.502588556925456,1.0
14,val,701.6936365559895,684.64837109375,17.045268549601236,1.0
15,train,700.3960797526041,683.8083618164062,16.587717778523764,1.0
15,val,700.8352814127604,683.9465166015625,16.88876592508952,1.0
16,train,699.8317939453125,683.2417609049479,16.5900294342041,1.0
16,val,700.1870611979167,683.4244669596354,16.762594614664714,1.0
17,train,699.6545107421875,682.9102545572916,16.744255564371745,1.0
17,val,700.3562314453125,684.3778611653646,15.978370732625326,1.0
18,train,699.3094204101562,682.603259765625,16.7061597849528,1.0
18,val,699.6247306315104,682.7898515625,16.834878412882485,1.0
19,train,698.8470548502604,682.1303665364584,16.716686111450194,1.0
19,val,699.4608165690104,682.8509397786459,16.609873692830405,1.0
20,train,698.7420660807292,681.8653676757813,16.876698755900065,1.0
20,val,699.4371256510417,682.8447939453125,16.59232917277018,1.0
