epoch,phase,loss,reconstruction,kl,beta
1,train,737.3496741536459,725.2868429181134,12.0628311891909,1.0
1,val,708.4509510091145,696.4875795898438,11.963371025085449,1.0
2,train,703.585634657118,690.3459592556424,13.239675501788104,1.0
2,val,699.472004720052,686.0865543619792,13.385455744425455,1.0
3,train,698.1299567418981,684.4747542136863,13.655203408983018,1.0
3,val,696.8100921223959,682.891583170573,13.918509956359863,1.0
4,train,695.97145614511,682.2285609989873,13.742895148100676,1.0
4,val,694.6297384440104,681.0318696289063,13.597866945902506,1.0
5,train,694.6209673394097,680.8259046223958,13.795062952112268,1.0
5,val,693.65512890625,679.8530690104167,13.802058512369792,1.0
6,train,693.7264549877026,679.9029497432002,13.823506457858615,1.0
6,val,692.9871053059895,679.0821614583333,13.904946551005045,1.0
7,train,693.1045919234664,679.193462999132,13.9111286855627,1.0
7,val,692.4651748046875,678.6191020507813,13.846074645996094,1.0
8,train,692.5939118019387,678.6132390407986,13.98067237769233,1.0
8,val,692.1674614257812,677.787498860677,14.379961026509603,1.0
9,train,692.1831957826968,678.1101285626447,14.073065607989276,1.0
9,val,691.555033203125,677.7745524088542,13.78048131052653,1.0
10,train,691.7708142541956,677.6532618995949,14.117550688566984,1.0
10,val,691.4884262695313,677.3090613606771,14.1793646291097,1.0
11,train,691.4845545066551,677.3054858398438,14.179068228827582,1.0
11,val,691.3943854166666,677.3718478190104,14.022540033976236,1.0
12,train,691.1976314561632,676.9761661783854,14.221468131453902,1.0
12,val,690.6913347981771,676.8742387695313,13.817095710754394,1.0
13,train,690.9215866247107,676.6920824110243,14.229503408361364,1.0
13,val,690.5664899088541,676.2462381184896,14.32025525156657,1.0
14,train,690.7538608760127,676.470670844184,14.283190169440376,1.0
14,val,690.2935494791667,675.9397169596355,14.353827799479166,1.0
15,train,690.5211998697916,676.1923007450811,14.328898900349936,1.0
15,val,690.1765406901042,675.9195908203125,14.256948702494304,1.0
16,train,690.35973046875,675.9987189850984,14.361011250248662,1.0
16,val,689.940796061198,675.1430610351563,14.797733233133952,1.0
17,train,690.1622341941551,675.7671304976852,14.395103300306532,1.0
17,val,689.7507360026042,675.4886770833333,14.262061800638834,1.0
18,train,689.9910126591435,675.6109920609085,14.380021259731716,1.0
18,val,689.7468509114583,675.7118403320312,14.035005142211913,1.0
19,train,689.8269450774017,675.3991507523148,14.427794663888436,1.0
19,val,689.5312864583333,674.9991922200521,14.532097162882486,1.0
20,train,689.7186765769676,675.2942194191262,14.424457367791069,1.0
20,val,689.4634780273437,674.792159016927,14.671318740844727,1.0
