epoch,phase,loss,reconstruction,kl,beta
1,train,824.2663049316407,802.6314123535157,21.634892072677612,1.0
1,val,765.2333746744791,747.3433452148438,17.890028060913085,1.0
2,train,749.822568359375,736.86623046875,12.956335535049439,1.0
2,val,742.0639521484375,729.8906233723958,12.173331062316894,1.0
3,train,740.7347924804687,729.9415295410156,10.793261489868165,1.0
3,val,735.98953515625,723.5407561848958,12.448771654764812,1.0
4,train,735.0784057617187,724.6668981933594,10.41150740623474,1.0
4,val,737.5597373046875,725.8547473958333,11.704987848917643,1.0
5,train,729.445517578125,718.5101342773437,10.935384407043458,1.0
5,val,722.9922472330729,712.1059270833333,10.886319137573242,1.0
1,train,824.2663049316407,802.6314123535157,21.634892072677612,1.0
1,val,765.2333746744791,747.3433452148438,17.890028060913085,1.0
6,train,722.72232421875,711.3591418457031,11.36317995071411,1.0
6,val,719.8615725911459,707.6950052083333,12.166562487284342,1.0
2,train,749.822568359375,736.86623046875,12.956335535049439,1.0
2,val,742.0639521484375,729.8906233723958,12.173331062316894,1.0
7,train,718.4603735351562,706.5015869140625,11.9587833404541,1.0
7,val,716.0184635416666,702.0623304036459,13.956135159810383,1.0
3,train,740.7347924804687,729.9415295410156,10.793261489868165,1.0
3,val,735.98953515625,723.5407561848958,12.448771654764812,1.0
8,train,716.648603515625,703.3663806152343,13.282223377227783,1.0
8,val,714.7807576497396,700.7720830078125,14.00867527516683,1.0
4,train,735.0784057617187,724.6668981933594,10.41150740623474,1.0
4,val,737.5597373046875,725.8547473958333,11.704987848917643,1.0
9,train,712.332685546875,698.8498278808594,13.48285945892334,1.0
9,val,710.2298403320312,696.5293055013021,13.700532279968261,1.0
5,train,729.445517578125,718.5101342773437,10.935384407043458,1.0
5,val,722.9922472330729,712.1059270833333,10.886319137573242,1.0
10,train,709.7163024902344,695.6336254882813,14.082678642272949,1.0
10,val,709.5988588867187,695.4696749674479,14.129183657328287,1.0
6,train,722.72232421875,711.3591418457031,11.36317995071411,1.0
6,val,719.8615725911459,707.6950052083333,12.166562487284342,1.0
11,train,707.9076550292968,693.3738317871093,14.533825244903564,1.0
11,val,707.9849145507812,692.6222747395833,15.362645584106446,1.0
7,train,718.4603735351562,706.5015869140625,11.9587833404541,1.0
7,val,716.0184635416666,702.0623304036459,13.956135159810383,1.0
12,train,707.4097595214844,692.5063391113281,14.90342607498169,1.0
12,val,706.9437626953124,691.8618395182292,15.08192628733317,1.0
8,train,716.648603515625,703.3663806152343,13.282223377227783,1.0
8,val,714.7807576497396,700.7720830078125,14.00867527516683,1.0
13,train,706.1473461914062,690.9840209960937,15.16332555770874,1.0
13,val,705.6477724609375,690.4781904296875,15.16958130645752,1.0
